Year;Kbn stad;Kbn amt;Frederiksborg;Holbaek;Soroe;Praestoe;Bornholms;Maribo;Odense;Svendborg;Hjoerring;Thisted;Aalborg;Viborg;Randers;Aarhus;Vejle;Ringkoebing;Ribe
1866;1436;22297;25907;36394;27507;33422;5958;23074;25498;24052;16211;5891;14866;17119;17806;24639;23209;20619;15607
1871;1549;24727;29388;40434;30220;36103;7506;25157;30177;27921;22843;7066;18807;20611;20588;28754;26987;24187;19396
1876;872;24011;27889;43295;34878;37021;5820;23282;32353;27943;30938;9724;28867;28370;23649;34204;35597;30636;24318
1881;961;28586;30497;48543;40451;42292;7096;26951;31574;28366;34605;10982;27603;27498;22997;33535;31767;31211;21902
1888;294;33354;43259;65539;54637;57613;12692;39196;49597;42337;54946;23486;40357;37525;36031;52168;46071;47723;33960
1893;887;42426;47415;80295;66499;69432;15248;41454;49632;43031;55140;20184;45691;40111;37422;52665;43917;47210;30472
1898;275;59122;64751;110047;94016;98615;24577;63038;68407;55296;75183;26538;65372;58063;52852;78086;63876;65569;44810
1903;4133;62248;69129;129630;108539;116382;30423;76058;84482;74114;98325;38504;88464;77051;67563;95221;86486;87343;62604
1909;3906;57852;69169;125658;98271;113114;32586;77849;83621;77906;92510;43168;92182;81551;65370;95906;87797;99172;70234
1914;7565;99911;98964;197634;150866;172064;51788;132083;134323;141486;160674;80239;159077;151078;131902;212255;142023;157812;114962
